statecd,districtID,Clinton2016,Trump2016,Obama2012,Romney2012,Margin2016,Margin2012,MarginChange,HouseDem,HouseRep,HouseMargin,HousePresMargin
AL1,0,34.1,63.5,37.39,61.8,-29.4,-24.41,-4.99,0,96.38246724,-96.38246724,66.98246724
AL2,1,33,64.9,36.4,62.9,-31.9,-26.5,-5.4,40.52620542,48.76854771,-8.24234229,-23.65765771
AL3,2,32.3,65.3,36.8,62.3,-33,-25.5,-7.5,32.9319689,66.93184351,-33.99987461,0.9998746099
AL4,3,17.4,80.4,24,74.8,-63,-50.8,-12.2,0,98.5303453,-98.5303453,35.5303453
AL5,4,31.3,64.7,34.9,63.9,-33.4,-29,-4.4,33.15776159,66.69791065,-33.54014906,0.140149063
AL6,5,26.1,70.8,24.7,74.3,-44.7,-49.6,4.9,25.41982229,74.49393573,-49.07411344,4.374113439
AL7,6,69.8,28.6,72.4,27.1,41.2,45.3,-4.1,98.41306624,0,98.41306624,-57.21306624
AK0,7,37.6,52.8,41.2,55.3,-15.2,-14.1,-1.1,36.02197289,50.3208976,-14.29892472,-0.9010752828
AZ1,8,46.6,47.7,47.9,50.4,-1.1,-2.5,1.4,50.66403049,43.37038225,7.293648249,-8.393648249
AZ2,9,49.6,44.7,48.4,49.9,4.9,-1.5,6.4,43.04150735,56.95849265,-13.91698529,18.81698529
AZ3,10,62.4,32.5,61.4,36.9,29.9,24.5,5.4,88.0793449,0,88.0793449,-58.1793449
AZ4,11,27.5,67.7,31,67.2,-40.2,-36.2,-4,28.5466478,71.4533522,-42.9067044,2.706704403
AZ5,12,36.5,57.6,34.6,63.8,-21.1,-29.2,8.1,35.90483688,64.09516312,-28.19032625,7.090326249
AZ6,13,42.4,52.4,38.8,59.5,-10,-20.7,10.7,37.86970941,62.13029059,-24.26058118,14.26058118
AZ7,14,71.8,22.6,71.7,26.5,49.2,45.2,4,75.22463809,24.73758115,50.48705694,-1.287056942
AZ8,15,37,58.1,36.9,61.7,-21.1,-24.8,3.7,0,68.54912349,-68.54912349,47.44912349
AZ9,16,54.7,38.4,51.1,46.6,16.3,4.5,11.8,60.91918402,39.04406015,21.87512387,-5.575123871
AR1,17,30.2,65,36.3,61,-34.8,-24.7,-10.1,0,76.27807025,-76.27807025,41.47807025
AR2,18,41.7,52.4,42.9,54.7,-10.7,-11.8,1.1,36.81330671,58.34479475,-21.53148804,10.83148804
AR3,19,30.5,61.9,31.6,65.5,-31.4,-33.9,2.5,0,77.31811596,-77.31811596,45.91811596
AR4,20,31.3,64.2,35.9,61.8,-32.9,-25.9,-7,0,74.90405842,-74.90405842,42.00405842
CA1,21,36.5,56.2,40.3,56.6,-19.7,-16.3,-3.4,40.94689781,59.05310219,-18.10620438,-1.593795616
CA2,22,69,23.3,69,27,45.7,42,3.7,76.85009947,23.14990053,53.70019893,-8.000198932
CA3,23,53,40.4,54.3,43.1,12.6,11.2,1.4,59.35143171,40.64856829,18.70286341,-6.102863414
CA4,24,39.3,54,39.5,57.9,-14.7,-18.4,3.7,37.28011442,62.71988558,-25.43977115,10.73977115
CA5,25,69.2,24.3,69.7,27.5,44.9,42.2,2.7,76.86851016,23.13148984,53.73702031,-8.837020312
CA6,26,69.2,24.4,69.1,28.3,44.8,40.8,4,75.4270155,24.5729845,50.854031,-6.054031001
CA7,27,52.3,40.9,50.8,46.8,11.4,4,7.4,51.17137177,48.82862823,2.342743549,9.057256451
CA8,28,39.6,54.7,41.7,55.6,-15.1,-13.9,-1.2,37.74198094,62.25801906,-24.51603813,9.416038126
CA9,29,56.6,38,57.8,40.1,18.6,17.7,0.9,57.35952273,42.64047727,14.71904547,3.880954535
CA10,30,48.5,45.5,50.6,47,3,3.6,-0.6,48.29954259,51.70045741,-3.400914817,6.400914817
CA11,31,71.5,22.7,67.6,30,48.8,37.6,11.2,72.05282201,27.94717799,44.10564403,4.694355972
CA12,32,86.2,8.7,84.1,12.5,77.5,71.6,5.9,80.87326064,0,80.87326064,-3.373260635
CA13,33,87.4,6.8,87.5,9,80.6,78.5,2.1,90.78455482,9.215445178,81.56910964,-0.9691096444
CA14,34,76.9,18.2,74.2,23.6,58.7,50.6,8.1,80.86312651,19.13687349,61.72625302,-3.026253024
CA15,35,69.9,24.2,68,29.8,45.7,38.2,7.5,73.76679532,26.23320468,47.53359064,-1.833590642
CA16,36,58,36.4,58.6,39.4,21.6,19.2,2.4,58.03484246,41.96515754,16.06968492,5.530315083
CA17,37,73.9,20.5,71.9,25.5,53.4,46.4,7,100,0,100,-46.6
CA18,38,73.4,20.2,68.2,28.9,53.2,39.3,13.9,71.14500046,28.85499954,42.29000093,10.90999907
CA19,39,72.9,21.5,71.2,26.5,51.4,44.7,6.7,73.94443247,26.05556753,47.88886494,3.511135063
CA20,40,70.4,23.2,70.9,26.2,47.2,44.7,2.5,70.75307575,29.24692425,41.50615151,5.693848493
CA21,41,55.2,39.7,54.6,43.5,15.5,11.1,4.4,43.26173645,56.73826355,-13.4765271,28.9765271
CA22,42,42.6,52.1,41.6,56.6,-9.5,-15,5.5,32.43490548,67.56509452,-35.13018905,25.63018905
CA23,43,36.1,58.1,36.1,61.5,-22,-25.4,3.4,30.82488907,69.17511093,-38.35022187,16.35022187
CA24,44,56.7,36.5,54.1,43.1,20.2,11,9.2,53.41908666,46.58091334,6.838173313,13.36182669
CA25,45,50.3,43.6,47.8,49.7,6.7,-1.9,8.6,46.86993847,53.13006153,-6.260123066,12.96012307
CA26,46,57.9,36,54,43.7,21.9,10.3,11.6,60.37951246,39.62048754,20.75902493,1.140975074
CA27,47,66,28.4,62.6,35,37.6,27.6,10,67.42036133,32.57963867,34.84072265,2.759277347
CA28,48,72.1,22.3,70.3,26.5,49.8,43.8,6,77.98667944,22.01332056,55.97335887,-6.173358875
CA29,49,77.7,16.8,77,20.5,60.9,56.5,4.4,100,0,100,-39.1
CA30,50,69.1,25.7,65.3,32.1,43.4,33.2,10.2,72.63839153,27.36160847,45.27678306,-1.87678306
CA31,51,57.7,36.6,57.2,40.6,21.1,16.6,4.5,56.06753853,43.93246147,12.13507706,8.96492294
CA32,52,66.6,27.7,65.2,32.5,38.9,32.7,6.2,100,0,100,-61.1
CA33,53,67.8,26.5,60.6,36.8,41.3,23.8,17.5,66.4398475,33.5601525,32.87969499,8.42030501
CA34,54,83.6,10.7,83,14.1,72.9,68.9,4,100,0,100,-27.1
CA35,55,67.7,26.9,67.4,30.6,40.8,36.8,4,72.39091233,27.60908767,44.78182465,-3.981824654
CA36,56,52.2,43.4,50.7,47.5,8.8,3.2,5.6,62.05393415,37.94606585,24.1078683,-15.3078683
CA37,57,85.7,9.6,84.9,12.7,76.1,72.2,3.9,100,0,100,-23.9
CA38,58,67,27.4,64.9,33,39.6,31.9,7.7,70.47829946,29.52170054,40.95659891,-1.356598913
CA39,59,51.5,42.9,47.1,50.8,8.6,-3.7,12.3,42.76957063,57.23042937,-14.46085874,23.06085874
CA40,60,82.2,12.8,81.5,16.5,69.4,65,4.4,71.3704897,0,71.3704897,-1.970489695
CA41,61,61,33.1,61.5,36.3,27.9,25.2,2.7,64.95137414,35.04862586,29.90274829,-2.002748286
