StateCD,CDID
AL1,0
AL2,1
AL3,2
AL4,3
AL5,4
AL6,5
AL7,6
AK0,7
AZ1,8
AZ2,9
AZ3,10
AZ4,11
AZ5,12
AZ6,13
AZ7,14
AZ8,15
AZ9,16
AR1,17
AR2,18
AR3,19
AR4,20
CA1,21
CA2,22
CA3,23
CA4,24
CA5,25
CA6,26
CA7,27
CA8,28
CA9,29
CA10,30
CA11,31
CA12,32
CA13,33
CA14,34
CA15,35
CA16,36
CA17,37
CA18,38
CA19,39
CA20,40
CA21,41
CA22,42
CA23,43
CA24,44
CA25,45
CA26,46
CA27,47
CA28,48
CA29,49
CA30,50
CA31,51
CA32,52
CA33,53
CA34,54
CA35,55
CA36,56
CA37,57
CA38,58
CA39,59
CA40,60
CA41,61
CA42,62
CA43,63
CA44,64
CA45,65
CA46,66
CA47,67
CA48,68
CA49,69
CA50,70
CA51,71
CA52,72
CA53,73
CO1,74
CO2,75
CO3,76
CO4,77
CO5,78
CO6,79
CO7,80
CT1,81
CT2,82
CT3,83
CT4,84
CT5,85
DE0,86
FL1,87
FL2,88
FL3,89
FL4,90
FL5,91
FL6,92
FL7,93
FL8,94
FL9,95
FL10,96
FL11,97
FL12,98
FL13,99
FL14,100
FL15,101
FL16,102
FL17,103
FL18,104
FL19,105
FL20,106
FL21,107
FL22,108
FL23,109
FL24,110
FL25,111
FL26,112
FL27,113
GA1,114
GA2,115
GA3,116
GA4,117
GA5,118
GA6,119
GA7,120
GA8,121
GA9,122
GA10,123
GA11,124
GA12,125
GA13,126
GA14,127
HI1,128
HI2,129
ID1,130
ID2,131
IL1,132
IL2,133
IL3,134
IL4,135
IL5,136
IL6,137
IL7,138
IL8,139
IL9,140
IL10,141
IL11,142
IL12,143
IL13,144
IL14,145
IL15,146
IL16,147
IL17,148
IL18,149
IN1,150
IN2,151
IN3,152
IN4,153
IN5,154
IN6,155
IN7,156
IN8,157
IN9,158
IA1,159
IA2,160
IA3,161
IA4,162
KS1,163
KS2,164
KS3,165
KS4,166
KY1,167
KY2,168
KY3,169
KY4,170
KY5,171
KY6,172
LA1,173
LA2,174
LA3,175
LA4,176
LA5,177
LA6,178
ME1,179
ME2,180
MD1,181
MD2,182
MD3,183
MD4,184
MD5,185
MD6,186
MD7,187
MD8,188
MA1,189
MA2,190
MA3,191
MA4,192
MA5,193
MA6,194
MA7,195
MA8,196
MA9,197
MI1,198
MI2,199
MI3,200
MI4,201
MI5,202
MI6,203
MI7,204
MI8,205
MI9,206
MI10,207
MI11,208
MI12,209
MI13,210
MI14,211
MN1,212
MN2,213
MN3,214
MN4,215
MN5,216
MN6,217
MN7,218
MN8,219
MS1,220
MS2,221
MS3,222
MS4,223
MO1,224
MO2,225
MO3,226
MO4,227
MO5,228
MO6,229
MO7,230
MO8,231
MT0,232
NE1,233
NE2,234
NE3,235
NV1,236
NV2,237
NV3,238
NV4,239
NH1,240
NH2,241
NJ1,242
NJ2,243
NJ3,244
NJ4,245
NJ5,246
NJ6,247
NJ7,248
NJ8,249
NJ9,250
NJ10,251
NJ11,252
NJ12,253
NM1,254
NM2,255
NM3,256
NY1,257
NY2,258
NY3,259
NY4,260
NY5,261
NY6,262
NY7,263
NY8,264
NY9,265
NY10,266
NY11,267
NY12,268
NY13,269
NY14,270
NY15,271
NY16,272
NY17,273
NY18,274
NY19,275
NY20,276
NY21,277
NY22,278
NY23,279
NY24,280
NY25,281
NY26,282
NY27,283
NC1,284
NC2,285
NC3,286
NC4,287
NC5,288
NC6,289
NC7,290
NC8,291
NC9,292
NC10,293
NC11,294
NC12,295
NC13,296
ND0,297
OH1,298
OH2,299
OH3,300
OH4,301
OH5,302
OH6,303
OH7,304
OH8,305
OH9,306
OH10,307
OH11,308
OH12,309
OH13,310
OH14,311
OH15,312
OH16,313
OK1,314
OK2,315
OK3,316
OK4,317
OK5,318
OR1,319
OR2,320
OR3,321
OR4,322
OR5,323
PA1,324
PA2,325
PA3,326
PA4,327
PA5,328
PA6,329
PA7,330
PA8,331
PA9,332
PA10,333
PA11,334
PA12,335
PA13,336
PA14,337
PA15,338
PA16,339
PA17,340
PA18,341
RI1,342
RI2,343
SC1,344
SC2,345
SC3,346
SC4,347
SC5,348
SC6,349
SC7,350
SD0,351
TN1,352
TN2,353
TN3,354
TN4,355
TN5,356
TN6,357
TN7,358
TN8,359
TN9,360
TX1,361
TX2,362
TX3,363
TX4,364
TX5,365
TX6,366
TX7,367
TX8,368
TX9,369
TX10,370
TX11,371
TX12,372
TX13,373
TX14,374
TX15,375
TX16,376
TX17,377
TX18,378
TX19,379
TX20,380
TX21,381
TX22,382
TX23,383
TX24,384
TX25,385
TX26,386
TX27,387
TX28,388
TX29,389
TX30,390
TX31,391
TX32,392
TX33,393
TX34,394
TX35,395
TX36,396
UT1,397
UT2,398
UT3,399
UT4,400
VT0,401
VA1,402
VA2,403
VA3,404
VA4,405
VA5,406
VA6,407
VA7,408
VA8,409
VA9,410
VA10,411
VA11,412
WA1,413
WA2,414
WA3,415
WA4,416
WA5,417
WA6,418
WA7,419
WA8,420
WA9,421
WA10,422
WV1,423
WV2,424
WV3,425
WI1,426
WI2,427
WI3,428
WI4,429
WI5,430
WI6,431
WI7,432
WI8,433
WY0,434
