statecd	districtID	nytID
AL1	0	B001289
AL2	1	R000591
AL3	2	R000575
AL4	3	A000055
AL5	4	B001274
AL6	5	P000609
AL7	6	S001185
AK1	7	Y000033
AZ1	8	K000368
AZ2	9	M001197
AZ3	10	G000551
AZ4	11	G000565
AZ5	12	S000018
AZ6	13	S001183
AZ7	14	G000574
AZ8	15	F000448
AZ9	16	S001191
AR1	17	C001087
AR2	18	H001072
AR3	19	W000809
AR4	20	W000821
CA1	21	L000578
CA2	22	H001068
CA3	23	G000559
CA4	24	M001177
CA5	25	T000460
CA6	26	M001163
CA7	27	B001287
CA8	28	C001094
CA9	29	M001166
CA10	30	D000612
CA11	31	D000623
CA12	32	P000197
CA13	33	L000551
CA14	34	S001175
CA15	35	S001193
CA16	36	C001059
CA17	37	H001034
CA18	38	E000215
CA19	39	L000397
CA20	40	F000030
CA21	41	V000129
CA22	42	N000181
CA23	43	M001165
CA24	44	C001036
CA25	45	K000387
CA26	46	B001285
CA27	47	C001080
CA28	48	S001150
CA29	49	C001097
CA30	50	S000344
CA31	51	A000371
CA32	52	N000179
CA33	53	L000582
CA34	54	B000287
CA35	55	T000474
CA36	56	R000599
CA37	57	B001270
CA38	58	S001156
CA39	59	R000487
CA40	60	R000486
CA41	61	T000472
CA42	62	C000059
CA43	63	W000187
CA44	64	H001063
CA45	65	W000820
CA46	66	S000030
CA47	67	L000579
CA48	68	R000409
CA49	69	I000056
CA50	70	H001048
CA51	71	V000130
CA52	72	P000608
CA53	73	D000598
CO1	74	D000197
CO2	75	P000598
CO3	76	T000470
CO4	77	B001297
CO5	78	L000564
CO6	79	C001077
CO7	80	P000593
CT1	81	L000557
CT2	82	C001069
CT3	83	D000216
CT4	84	H001047
CT5	85	E000293
DE1	86	C001083
FL1	87	M001144
FL2	88	G000575
FL3	89	Y000065
FL4	90	C001045
FL5	91	B000911
FL6	92	D000621
FL7	93	M000689
FL8	94	P000599
FL9	95	G000556
FL10	96	W000806
FL11	97	N000185
FL12	98	B001257
FL13	99	J000296
FL14	100	C001066
FL15	101	R000593
FL16	102	B001260
FL17	103	R000583
FL18	104	M001191
FL19	105	C001102
FL20	106	H000324
FL21	107	D000610
FL22	108	F000462
FL23	109	W000797
FL24	110	W000808
FL25	111	D000600
FL26	112	C001107
FL27	113	R000435
GA1	114	C001103
GA2	115	B000490
GA3	116	W000796
GA4	117	J000288
GA5	118	L000287
GA6	119	P000591
GA7	120	W000810
GA8	121	S001189
GA9	122	C001093
GA10	123	H001071
