State,district,statecd,id,districtID,stateID,nytID,party,bernieBin
AL,1,AL1,4129,0,0,B001289,R,2
AL,1,AL1,4130,0,0,B001289,R,2
AL,1,AL1,4033,0,0,B001289,R,2
AL,1,AL1,4034,0,0,B001289,R,2
AL,1,AL1,4035,0,0,B001289,R,2
AL,2,AL2,4131,1,0,R000591,R,1
AL,2,AL2,4036,1,0,R000591,R,1
AL,2,AL2,4132,1,0,R000591,R,1
AL,2,AL2,4037,1,0,R000591,R,1
AL,2,AL2,3942,1,0,R000591,R,1
AL,3,AL3,3845,2,0,R000575,R,1
AL,3,AL3,3846,2,0,R000575,R,1
AL,3,AL3,3847,2,0,R000575,R,1
AL,3,AL3,3752,2,0,R000575,R,1
AL,3,AL3,3751,2,0,R000575,R,1
AL,4,AL4,3466,3,0,A000055,R,1
AL,4,AL4,3561,3,0,A000055,R,1
AL,4,AL4,3562,3,0,A000055,R,1
AL,4,AL4,3657,3,0,A000055,R,1
AL,4,AL4,3656,3,0,A000055,R,1
AL,5,AL5,3559,4,0,B001274,R,1
AL,5,AL5,3560,4,0,B001274,R,1
AL,5,AL5,3463,4,0,B001274,R,1
AL,5,AL5,3464,4,0,B001274,R,1
AL,5,AL5,3465,4,0,B001274,R,1
AL,6,AL6,3750,5,0,P000609,R,1
AL,6,AL6,3749,5,0,P000609,R,1
AL,6,AL6,3653,5,0,P000609,R,1
AL,6,AL6,3654,5,0,P000609,R,1
AL,6,AL6,3655,5,0,P000609,R,1
AL,7,AL7,3941,6,0,S001185,D,1
AL,7,AL7,3940,6,0,S001185,D,1
AL,7,AL7,3939,6,0,S001185,D,1
AL,7,AL7,3843,6,0,S001185,D,1
AL,7,AL7,3844,6,0,S001185,D,1
AK,0,AK0,4852,7,1,Y000033,R,1
AK,0,AK0,4853,7,1,Y000033,R,1
AK,0,AK0,4946,7,1,Y000033,R,1
AK,0,AK0,4947,7,1,Y000033,R,1
AK,0,AK0,5043,7,1,Y000033,R,1
AZ,1,AZ1,3344,8,2,K000368,D,1
AZ,1,AZ1,3345,8,2,K000368,D,1
AZ,1,AZ1,3346,8,2,K000368,D,1
AZ,1,AZ1,3438,8,2,K000368,D,1
AZ,1,AZ1,3439,8,2,K000368,D,1
AZ,2,AZ2,4009,9,2,M001197,R,2
AZ,2,AZ2,4010,9,2,M001197,R,2
AZ,2,AZ2,4104,9,2,M001197,R,2
AZ,2,AZ2,4105,9,2,M001197,R,2
AZ,2,AZ2,4106,9,2,M001197,R,2
AZ,3,AZ3,3913,10,2,G000551,D,1
AZ,3,AZ3,3914,10,2,G000551,D,1
AZ,3,AZ3,3915,10,2,G000551,D,1
AZ,3,AZ3,4007,10,2,G000551,D,1
AZ,3,AZ3,4008,10,2,G000551,D,1
AZ,4,AZ4,3341,11,2,G000565,R,1
AZ,4,AZ4,3342,11,2,G000565,R,1
AZ,4,AZ4,3343,11,2,G000565,R,1
AZ,4,AZ4,3436,11,2,G000565,R,1
AZ,4,AZ4,3437,11,2,G000565,R,1
AZ,5,AZ5,3440,12,2,S000018,R,1
AZ,5,AZ5,3441,12,2,S000018,R,1
AZ,5,AZ5,3535,12,2,S000018,R,1
AZ,5,AZ5,3536,12,2,S000018,R,1
AZ,5,AZ5,3631,12,2,S000018,R,1
AZ,6,AZ6,3534,13,2,S001183,R,1
AZ,6,AZ6,3628,13,2,S001183,R,1
AZ,6,AZ6,3723,13,2,S001183,R,1
AZ,6,AZ6,3724,13,2,S001183,R,1
AZ,6,AZ6,3818,13,2,S001183,R,1
AZ,7,AZ7,3721,14,2,G000574,D,1
AZ,7,AZ7,3722,14,2,G000574,D,1
AZ,7,AZ7,3816,14,2,G000574,D,1
AZ,7,AZ7,3817,14,2,G000574,D,1
AZ,7,AZ7,3912,14,2,G000574,D,1
AZ,8,AZ8,3531,15,2,F000448,R,1
AZ,8,AZ8,3532,15,2,F000448,R,1
AZ,8,AZ8,3533,15,2,F000448,R,1
AZ,8,AZ8,3626,15,2,F000448,R,1
AZ,8,AZ8,3627,15,2,F000448,R,1
AZ,9,AZ9,3629,16,2,S001191,D,2
AZ,9,AZ9,3630,16,2,S001191,D,2
AZ,9,AZ9,3726,16,2,S001191,D,2
AZ,9,AZ9,3725,16,2,S001191,D,2
AZ,9,AZ9,3819,16,2,S001191,D,2
AR,1,AR1,3081,17,3,C001087,R,1
AR,1,AR1,3082,17,3,C001087,R,1
AR,1,AR1,3176,17,3,C001087,R,1
AR,1,AR1,3177,17,3,C001087,R,1
AR,1,AR1,3271,17,3,C001087,R,1
AR,2,AR2,3366,18,3,H001072,R,1
AR,2,AR2,3175,18,3,H001072,R,1
AR,2,AR2,3270,18,3,H001072,R,1
AR,2,AR2,3269,18,3,H001072,R,1
AR,2,AR2,3174,18,3,H001072,R,1
AR,3,AR3,3079,19,3,W000809,R,1
AR,3,AR3,3080,19,3,W000809,R,1
AR,3,AR3,2984,19,3,W000809,R,1
AR,3,AR3,2985,19,3,W000809,R,1
AR,3,AR3,2986,19,3,W000809,R,1
AR,4,AR4,3458,20,3,W000821,R,1
AR,4,AR4,3459,20,3,W000821,R,1
AR,4,AR4,3460,20,3,W000821,R,1
AR,4,AR4,3365,20,3,W000821,R,1
AR,4,AR4,3364,20,3,W000821,R,1
CA,1,CA1,1527,21,4,L000578,R,2
CA,1,CA1,1528,21,4,L000578,R,2
CA,1,CA1,1529,21,4,L000578,R,2
CA,1,CA1,1623,21,4,L000578,R,2
CA,1,CA1,1624,21,4,L000578,R,2
CA,2,CA2,1522,22,4,H001068,D,3
