statecd	districtID	nytID	party
AL1	0	B001289	R
AL2	1	R000591	R
AL3	2	R000575	R
AL4	3	A000055	R
AL5	4	B001274	R
AL6	5	P000609	R
AL7	6	S001185	D
AK1	7	Y000033	R
AZ1	8	K000368	D
AZ2	9	M001197	R
AZ3	10	G000551	D
AZ4	11	G000565	R
AZ5	12	S000018	R
AZ6	13	S001183	R
AZ7	14	G000574	D
AZ8	15	F000448	R
AZ9	16	S001191	D
AR1	17	C001087	R
AR2	18	H001072	R
AR3	19	W000809	R
AR4	20	W000821	R
CA1	21	L000578	R
CA2	22	H001068	D
CA3	23	G000559	D
CA4	24	M001177	R
CA5	25	T000460	D
CA6	26	M001163	D
CA7	27	B001287	D
CA8	28	C001094	R
CA9	29	M001166	D
CA10	30	D000612	R
CA11	31	D000623	D
CA12	32	P000197	D
CA13	33	L000551	D
CA14	34	S001175	D
CA15	35	S001193	D
CA16	36	C001059	D
CA17	37	H001034	D
CA18	38	E000215	D
CA19	39	L000397	D
CA20	40	F000030	D
CA21	41	V000129	R
CA22	42	N000181	R
CA23	43	M001165	R
CA24	44	C001036	D
CA25	45	K000387	R
CA26	46	B001285	D
CA27	47	C001080	D
CA28	48	S001150	D
CA29	49	C001097	D
CA30	50	S000344	D
CA31	51	A000371	D
CA32	52	N000179	D
CA33	53	L000582	D
CA34	54	B000287	D
CA35	55	T000474	D
CA36	56	R000599	D
CA37	57	B001270	D
CA38	58	S001156	D
CA39	59	R000487	R
CA40	60	R000486	D
CA41	61	T000472	D
CA42	62	C000059	R
CA43	63	W000187	D
CA44	64	H001063	D
CA45	65	W000820	R
CA46	66	S000030	D
CA47	67	L000579	D
CA48	68	R000409	R
CA49	69	I000056	R
CA50	70	H001048	R
CA51	71	V000130	D
CA52	72	P000608	D
CA53	73	D000598	D
CO1	74	D000197	D
CO2	75	P000598	D
CO3	76	T000470	R
CO4	77	B001297	R
CO5	78	L000564	R
CO6	79	C001077	R
CO7	80	P000593	D
CT1	81	L000557	D
CT2	82	C001069	D
CT3	83	D000216	D
CT4	84	H001047	D
CT5	85	E000293	D
DE1	86	C001083	D
FL1	87	M001144	R
FL2	88	G000575	D
FL3	89	Y000065	R
FL4	90	C001045	R
FL5	91	B000911	D
FL6	92	D000621	R
FL7	93	M000689	R
FL8	94	P000599	R
FL9	95	G000556	D
FL10	96	W000806	R
FL11	97	N000185	R
FL12	98	B001257	R
FL13	99	J000296	R
FL14	100	C001066	D
FL15	101	R000593	R
FL16	102	B001260	R
FL17	103	R000583	R
FL18	104	M001191	D
FL19	105	C001102	R
FL20	106	H000324	D
FL21	107	D000610	D
FL22	108	F000462	D
FL23	109	W000797	D
FL24	110	W000808	D
FL25	111	D000600	R
FL26	112	C001107	R
FL27	113	R000435	R
GA1	114	C001103	R
GA2	115	B000490	D
GA3	116	W000796	R
GA4	117	J000288	D
GA5	118	L000287	D
GA6	119	P000591	R
GA7	120	W000810	R
GA8	121	S001189	R
GA9	122	C001093	R
GA10	123	H001071	R
GA11	124	L000583	R
GA12	125	A000372	R
GA13	126	S001157	D
GA14	127	G000560	R
HI1	128	T000473	D
HI2	129	G000571	D
ID1	130	L000573	R
ID2	131	S001148	R
IL1	132	R000515	D
IL2	133	K000385	D
IL3	134	L000563	D
IL4	135	G000535	D
IL5	136	Q000023	D
IL6	137	R000580	R
IL7	138	D000096	D
IL8	139	D000622	D
IL9	140	S001145	D
IL10	141	D000613	R
IL11	142	F000454	D
