statecd,name,nytID,state,district
AL4,Robert Aderholt,A000055,AL,4
MI3,Justin Amash,A000367,MI,3
NV2,Mark Amodei,A000369,NV,2
NC12,Alma Adams,A000370,NC,12
CA31,Pete Aguilar,A000371,CA,31
GA12,Rick Allen,A000372,GA,12
NE2,Brad Ashford,A000373,NE,2
LA5,Ralph Abraham,A000374,LA,5
TX6,Joe Barton,B000213,TX,6
CA34,Xavier Becerra,B000287,CA,34
GA2,Sanford Bishop Jr.,B000490,GA,2
OR3,Earl Blumenauer,B000574,OR,3
OH8,John Boehner,B000589,OH,8
TX8,Kevin Brady,B000755,TX,8
FL5,Corrine Brown,B000911,FL,5
PA1,Robert Brady,B001227,PA,1
TN7,Marsha Blackburn,B001243,TN,7
GU79,Madeleine Bordallo,B001245,GU,79
TX26,Michael Burgess,B001248,TX,26
UT1,Rob Bishop,B001250,UT,1
NC1,G. Butterfield,B001251,NC,1
LA3,Charles Boustany Jr.,B001255,LA,3
FL12,Gus Bilirakis,B001257,FL,12
FL16,Vern Buchanan,B001260,FL,16
PA11,Lou Barletta,B001269,PA,11
CA37,Karen Bass,B001270,CA,37
MI1,Dan Benishek,B001271,MI,1
TN6,Diane Black,B001273,TN,6
AL5,Mo Brooks,B001274,AL,5
IN8,Larry Bucshon,B001275,IN,8
OR1,Suzanne Bonamici,B001278,OR,1
OH3,Joyce Beatty,B001281,OH,3
KY6,Andy Barr,B001282,KY,6
OK1,Jim Bridenstine,B001283,OK,1
IN5,Susan Brooks,B001284,IN,5
CA26,Julia Brownley,B001285,CA,26
IL17,Cheri Bustos,B001286,IL,17
CA7,Ami Bera,B001287,CA,7
AL1,Bradley Byrne,B001289,AL,1
VA7,David Brat,B001290,VA,7
TX36,Brian Babin,B001291,TX,36
VA8,Donald Beyer,B001292,VA,8
MI8,Mike Bishop,B001293,MI,8
IA1,Rod Blum,B001294,IA,1
IL12,Mike Bost,B001295,IL,12
PA13,Brendan Boyle,B001296,PA,13
CO4,Ken Buck,B001297,CO,4
CA42,Ken Calvert,C000059,CA,42
OH1,Steven Chabot,C000266,OH,1
VI79,Donna Christensen,C000380,VI,79
SC6,James Clyburn,C000537,SC,6
MI13,John Conyers Jr.,C000714,MI,13
TN5,Jim Cooper,C000754,TN,5
MD7,Elijah Cummings,C000984,MD,7
CA24,Lois Capps,C001036,CA,24
MA7,Michael Capuano,C001037,MA,7
NY14,Joseph Crowley,C001038,NY,14
FL4,Ander Crenshaw,C001045,FL,4
TX7,John Culberson,C001048,TX,7
MO1,William Clay,C001049,MO,1
TX31,John Carter,C001051,TX,31
OK4,Tom Cole,C001053,OK,4
CA16,Jim Costa,C001059,CA,16
MO5,Emanuel Cleaver II,C001061,MO,5
TX11,K. Conaway,C001062,TX,11
TX28,Henry Cuellar,C001063,TX,28
FL14,Kathy Castor,C001066,FL,14
NY9,Yvette Clarke,C001067,NY,9
TN9,Steve Cohen,C001068,TN,9
CT2,Joe Courtney,C001069,CT,2
IN7,André Carson,C001072,IN,7
UT3,Jason Chaffetz,C001076,UT,3
CO6,Mike Coffman,C001077,CO,6
VA11,Gerald Connolly,C001078,VA,11
CA27,Judy Chu,C001080,CA,27
DE1,John Carney,C001083,DE,1
RI1,David Cicilline,C001084,RI,1
AR1,Rick Crawford,C001087,AR,1
PA17,Matt Cartwright,C001090,PA,17
TX20,Joaquin Castro,C001091,TX,20
NY27,Chris Collins,C001092,NY,27
GA9,Doug Collins,C001093,GA,9
CA8,Paul Cook,C001094,CA,8
ND1,Kevin Cramer,C001096,ND,1
CA29,Tony Cardenas,C001097,CA,29
MA5,Katherine Clark,C001101,MA,5
FL19,Curt Clawson,C001102,FL,19
GA1,Buddy Carter,C001103,GA,1
VA10,Barbara Comstock,C001105,VA,10
PA6,Ryan Costello,C001106,PA,6
FL26,Carlos Curbelo,C001107,FL,26
IL7,Danny Davis,D000096,IL,7
