State-CD	districtID	Party	Obama2012	Romney2012	Obama2008	McCain2008
AL1	0	(R)	0.374	0.618	0.385	0.609
AL2	1	(R)	0.364	0.629	0.35	0.645
AL3	2	(R)	0.368	0.623	0.366	0.626
AL4	3	(R)	0.24	0.748	0.255	0.733
AL5	4	(R)	0.349	0.639	0.363	0.626
AL6	5	(R)	0.247	0.743	0.25	0.741
AL7	6	(D)	0.724	0.271	0.715	0.281
AK1	7	(R)	0.412	0.553	0.381	0.597
AZ1	8	(D)	0.479	0.504	0.478	0.51
AZ2	9	(R)	0.484	0.499	0.489	0.498
AZ3	10	(D)	0.614	0.369	0.582	0.407
AZ4	11	(R)	0.31	0.672	0.344	0.642
AZ5	12	(R)	0.346	0.638	0.363	0.626
AZ6	13	(R)	0.388	0.595	0.412	0.577
AZ7	14	(D)	0.717	0.265	0.647	0.341
AZ8	15	(R)	0.369	0.617	0.384	0.606
AZ9	16	(D)	0.511	0.466	0.513	0.474
AR1	17	(R)	0.363	0.61	0.392	0.58
AR2	18	(R)	0.429	0.547	0.443	0.538
AR3	19	(R)	0.316	0.655	0.339	0.637
AR4	20	(R)	0.359	0.618	0.374	0.599
CA1	21	(R)	0.403	0.566	0.42	0.53
CA2	22	(D)	0.69	0.27	0.71	0.25
CA3	23	(D)	0.543	0.431	0.55	0.42
CA4	24	(R)	0.395	0.579	0.43	0.54
CA5	25	(D)	0.697	0.275	0.7	0.26
CA6	26	(D)	0.691	0.283	0.68	0.29
CA7	27	(D)	0.508	0.468	0.51	0.46
CA8	28	(R)	0.417	0.556	0.42	0.55
CA9	29	(D)	0.578	0.401	0.56	0.41
CA10	30	(R)	0.506	0.47	0.5	0.47
CA11	31	(D)	0.676	0.3	0.69	0.28
CA12	32	(D)	0.841	0.125	0.84	0.13
CA13	33	(D)	0.875	0.09	0.87	0.1
CA14	34	(D)	0.742	0.236	0.73	0.24
CA15	35	(D)	0.68	0.298	0.67	0.3
CA16	36	(D)	0.586	0.394	0.57	0.4
CA17	37	(D)	0.719	0.255	0.69	0.28
CA18	38	(D)	0.682	0.289	0.7	0.27
CA19	39	(D)	0.712	0.265	0.68	0.29
CA20	40	(D)	0.709	0.262	0.71	0.26
CA21	41	(R)	0.546	0.435	0.52	0.46
CA22	42	(R)	0.416	0.566	0.42	0.55
CA23	43	(R)	0.361	0.615	0.36	0.61
CA24	44	(D)	0.541	0.431	0.56	0.41
CA25	45	(R)	0.478	0.497	0.49	0.48
CA26	46	(D)	0.54	0.437	0.56	0.41
CA27	47	(D)	0.626	0.35	0.61	0.35
CA28	48	(D)	0.703	0.265	0.7	0.26
CA29	49	(D)	0.77	0.205	0.74	0.23
CA30	50	(D)	0.653	0.321	0.66	0.31
CA31	51	(D)	0.572	0.406	0.56	0.41
CA32	52	(D)	0.652	0.325	0.62	0.35
