statecd,districtID,ClintonDelegates,SandersDelegates,DifferenceDelegates,ClintonVotes,SandersVotes,ClintonPreportion,SandersPreportion,DifferenceVotes,DifferencePreportionVotes
AL1,0,4,1,3,"40,895","9,437",81.3%,18.7%,31458,0.625009934
AL2,1,4,1,3,"41,130","7,666",84.3%,15.7%,33464,0.6857939175
AL3,2,4,1,3,"39,720","8,835",81.8%,18.2%,30885,0.6360827927
AL4,3,3,1,2,"20,975","8,318",71.6%,28.4%,12657,0.4320827501
AL5,4,3,1,2,"32,095","13,507",70.4%,29.6%,18588,0.4076137012
AL6,5,2,1,1,"27,397","12,098",69.4%,30.6%,15299,0.3873654893
AL7,6,9,0,9,"107,720","16,542",86.7%,13.3%,91178,0.733756096
AK0,7,2,8,-6,100,441,18.5%,81.5%,-341,-0.6303142329
AZ1,8,3,3,0,"26,267","35,445",42.6%,57.4%,-9178,-0.1487231009
AZ2,9,4,4,0,"33,891","42,797",44.2%,55.8%,-8906,-0.1161329021
AZ3,10,3,2,1,"20,091","30,298",39.9%,60.1%,-10207,-0.2025640517
AZ4,11,2,2,0,"15,289","20,662",42.5%,57.5%,-5373,-0.1494534227
AZ5,12,3,2,1,"16,982","22,973",42.5%,57.5%,-5991,-0.1499436866
AZ6,13,4,2,2,"20,259","29,266",40.9%,59.1%,-9007,-0.1818677436
AZ7,14,3,2,1,"17,173","24,245",41.5%,58.5%,-7072,-0.1707470182
AZ8,15,3,2,1,"17,651","27,672",38.9%,61.1%,-10021,-0.2211018688
AZ9,16,3,3,0,"25,359","29,101",46.6%,53.4%,-3742,-0.06871098054
AR1,17,4,1,3,"34,358","13,155",72.3%,27.7%,21203,0.4462568139
AR2,18,4,2,2,"48,495","17,766",73.2%,26.8%,30729,0.4637569611
AR3,19,2,2,0,"21,087","17,288",54.9%,45.1%,3799,0.09899674267
AR4,20,4,2,2,"38,858","15,749",71.2%,28.8%,23109,0.4231875034
CA1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA6,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA8,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA9,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA10,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA11,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA12,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA13,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA14,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA15,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA16,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA17,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA18,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA20,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA21,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA22,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA23,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA24,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA25,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA26,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA27,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
