statecd,districtID,ClintonDelegates,SandersDelegates,DifferenceDelegates,ClintonVotes,SandersVotes,DifferenceVotes,DifferencePreportionVotes
AL1,0,4,1,3,"40,895","9,437",31458,0.625009934
AL2,1,4,1,3,"41,130","7,666",33464,0.6857939175
AL3,2,4,1,3,"39,720","8,835",30885,0.6360827927
AL4,3,3,1,2,"20,975","8,318",12657,0.4320827501
AL5,4,3,1,2,"32,095","13,507",18588,0.4076137012
AL6,5,2,1,1,"27,397","12,098",15299,0.3873654893
AL7,6,9,0,9,"107,720","16,542",91178,0.733756096
AK0,7,NA,NA,NA,NA,NA,NA,NA
AZ1,8,4,2,2,"30,927","21,736",9191,0.1745248087
AZ2,9,5,3,2,"39,870","29,809",10061,0.144390706
AZ3,10,3,2,1,"26,790","16,496",10294,0.2378136118
AZ4,11,2,2,0,"18,372","13,038",5334,0.1698185291
AZ5,12,3,2,1,"20,972","14,656",6316,0.1772762995
AZ6,13,4,2,2,"26,477","17,395",9082,0.2070113056
AZ7,14,3,2,1,"20,584","13,545",7039,0.2062468868
AZ8,15,3,2,1,"25,408","15,221",10187,0.2507322356
AZ9,16,3,3,0,"26,264","21,565",4699,0.09824583412
AR1,17,4,1,3,"34,358","13,155",21203,0.4462568139
AR2,18,4,2,2,"48,495","17,766",30729,0.4637569611
AR3,19,2,2,0,"21,087","17,288",3799,0.09899674267
AR4,20,4,2,2,"38,858","15,749",23109,0.4231875034
CA1,21,NA,NA,NA,NA,NA,NA,NA
CA2,22,NA,NA,NA,NA,NA,NA,NA
CA3,23,NA,NA,NA,NA,NA,NA,NA
CA4,24,NA,NA,NA,NA,NA,NA,NA
CA5,25,NA,NA,NA,NA,NA,NA,NA
CA6,26,NA,NA,NA,NA,NA,NA,NA
CA7,27,NA,NA,NA,NA,NA,NA,NA
CA8,28,NA,NA,NA,NA,NA,NA,NA
CA9,29,NA,NA,NA,NA,NA,NA,NA
CA10,30,NA,NA,NA,NA,NA,NA,NA
CA11,31,NA,NA,NA,NA,NA,NA,NA
CA12,32,NA,NA,NA,NA,NA,NA,NA
CA13,33,NA,NA,NA,NA,NA,NA,NA
CA14,34,NA,NA,NA,NA,NA,NA,NA
CA15,35,NA,NA,NA,NA,NA,NA,NA
CA16,36,NA,NA,NA,NA,NA,NA,NA
CA17,37,NA,NA,NA,NA,NA,NA,NA
CA18,38,NA,NA,NA,NA,NA,NA,NA
CA19,39,NA,NA,NA,NA,NA,NA,NA
CA20,40,NA,NA,NA,NA,NA,NA,NA
CA21,41,NA,NA,NA,NA,NA,NA,NA
CA22,42,NA,NA,NA,NA,NA,NA,NA
CA23,43,NA,NA,NA,NA,NA,NA,NA
CA24,44,NA,NA,NA,NA,NA,NA,NA
CA25,45,NA,NA,NA,NA,NA,NA,NA
CA26,46,NA,NA,NA,NA,NA,NA,NA
CA27,47,NA,NA,NA,NA,NA,NA,NA
CA28,48,NA,NA,NA,NA,NA,NA,NA
CA29,49,NA,NA,NA,NA,NA,NA,NA
CA30,50,NA,NA,NA,NA,NA,NA,NA
CA31,51,NA,NA,NA,NA,NA,NA,NA
CA32,52,NA,NA,NA,NA,NA,NA,NA
CA33,53,NA,NA,NA,NA,NA,NA,NA
CA34,54,NA,NA,NA,NA,NA,NA,NA
CA35,55,NA,NA,NA,NA,NA,NA,NA
CA36,56,NA,NA,NA,NA,NA,NA,NA
CA37,57,NA,NA,NA,NA,NA,NA,NA
CA38,58,NA,NA,NA,NA,NA,NA,NA
CA39,59,NA,NA,NA,NA,NA,NA,NA
CA40,60,NA,NA,NA,NA,NA,NA,NA
CA41,61,NA,NA,NA,NA,NA,NA,NA
CA42,62,NA,NA,NA,NA,NA,NA,NA
CA43,63,NA,NA,NA,NA,NA,NA,NA
CA44,64,NA,NA,NA,NA,NA,NA,NA
CA45,65,NA,NA,NA,NA,NA,NA,NA
CA46,66,NA,NA,NA,NA,NA,NA,NA
CA47,67,NA,NA,NA,NA,NA,NA,NA
CA48,68,NA,NA,NA,NA,NA,NA,NA
CA49,69,NA,NA,NA,NA,NA,NA,NA
CA50,70,NA,NA,NA,NA,NA,NA,NA
CA51,71,NA,NA,NA,NA,NA,NA,NA
CA52,72,NA,NA,NA,NA,NA,NA,NA
CA53,73,NA,NA,NA,NA,NA,NA,NA
CO1,74,4,4,0,"13,242","16,232",-2990,-0.1014453417
CO2,75,3,4,-1,"11,248","19,376",-8128,-0.2654127482
CO3,76,2,4,-2,"5,715","8,956",-3241,-0.2209120033
CO4,77,2,3,-1,"3,945","6,115",-2170,-0.2157057654
CO5,78,2,3,-1,"3,977","6,338",-2361,-0.2288899661
CO6,79,3,3,0,"6,161","6,675",-514,-0.0400436273
CO7,80,2,4,-2,"5,501","9,154",-3653,-0.249266462
CT1,81,NA,NA,NA,NA,NA,NA,NA
CT2,82,NA,NA,NA,NA,NA,NA,NA
CT3,83,NA,NA,NA,NA,NA,NA,NA
CT4,84,NA,NA,NA,NA,NA,NA,NA
CT5,85,NA,NA,NA,NA,NA,NA,NA
DE0,86,NA,NA,NA,NA,NA,NA,NA
FL1,87,2,1,1,"26,978","18,483",8495,0.1868634654
FL2,88,4,2,2,"50,185","34,057",16128,0.1914484461
FL3,89,2,2,0,"32,066","27,969",4097,0.06824352461
FL4,90,2,2,0,"33,910","22,752",11158,0.1969220995
FL5,91,4,2,2,"55,836","18,629",37207,0.4996575572
FL6,92,3,2,1,"37,982","24,437",13545,0.2170012336
FL7,93,3,2,1,"37,397","26,788",10609,0.1652878398
FL8,94,3,2,1,"39,368","24,369",14999,0.2353264195
FL9,95,3,2,1,"40,598","19,874",20724,0.3427040614
FL10,96,3,2,1,"38,004","22,203",15801,0.2624445662
FL11,97,3,2,1,"38,059","21,587",16472,0.2761626932
FL12,98,3,2,1,"35,494","23,169",12325,0.2100983584
FL13,99,4,2,2,"44,117","29,702",14415,0.1952749292
FL14,100,4,2,2,"49,140","23,608",25532,0.350964975
