statecd,districtID,RepVote,DemVote,Winner,Total
AL1,0,103758,48278,103758,152234
AL2,1,113103,54692,113103,167952
AL3,2,103558,52816,103558,156620
AL4,3,132831,0,132831,134752
AL5,4,115338,0,115338,154974
AL6,5,135945,42291,135945,178449
AL7,6,0,133687,133687,135899
AK0,7,142566,114596,142566,279725
AZ1,8,87723,97391,97391,185114
AZ2,9,109704,109543,109704,219351
AZ3,10,46185,58192,58192,104428
AZ4,11,122560,45179,122560,175179
AZ5,12,124867,54596,124867,179463
AZ6,13,129578,70198,129578,199776
AZ7,14,0,54235,54235,72454
AZ8,15,128710,0,128710,169776
AZ9,16,67841,88609,88609,162062
AR1,17,124139,63555,124139,196256
AR2,18,123073,103477,123073,237330
AR3,19,151630,0,151630,190935
AR4,20,110789,87742,110789,206131
CA1,21,132052,84320,132052,216372
CA2,22,54400,163124,163124,217524
CA3,23,71036,79224,79224,150260
CA4,24,126784,0,126784,211134
CA5,25,0,129613,129613,171148
CA6,26,36448,97008,97008,133456
CA7,27,91066,92521,92521,183587
CA8,28,77480,37056,77480,114536
CA9,29,57729,63475,63475,121204
CA10,30,70582,55123,70582,125705
CA11,31,57160,117502,117502,174662
CA12,32,32197,160067,160067,192264
CA13,33,21940,168491,168491,190431
CA14,34,34757,114389,114389,149146
CA15,35,43148,99756,99756,142904
CA16,36,44943,46277,46277,91220
CA17,37,0,69561,69561,134408
CA18,38,63326,133060,133060,196386
CA19,39,0,85888,85888,127788
CA20,40,0,106034,106034,141044
CA21,41,45907,33470,45907,79377
CA22,42,96053,37289,96053,133342
CA23,43,100317,33726,100317,134043
CA24,44,95566,103228,103228,198794
CA25,45,60847,0,60847,114072
CA26,46,82653,87176,87176,169829
CA27,47,51852,75728,75728,127580
CA28,48,0,91996,91996,120264
CA29,49,17045,50096,50096,67141
CA30,50,45315,86568,86568,131883
CA31,51,48162,51622,51622,99784
CA32,52,34053,50353,50353,84406
CA33,53,74700,108331,108331,183031
CA34,54,0,44697,44697,61621
CA35,55,0,39502,39502,62255
CA36,56,61457,72682,72682,134139
CA37,57,18051,96787,96787,114838
CA38,58,40288,58192,58192,98480
CA39,59,91319,41906,91319,133225
CA40,60,0,30208,30208,49379
CA41,61,35936,46948,46948,82884
CA42,62,74540,38850,74540,113390
